Nom de la gare;Code UIC;Code postal;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022
Les Coquetiers;87113845;93250;0.0;1386734;1386734;1257508;1257508;1181755;1181755
Les Eyzies-de-Tayac-Sireuil;87595736;24620;0.0;19660;19660;19771;19771;18117;18117
Libercourt;87345256;62820;0.2;964100;1205125;886480;1108100;774844;968555
Lille Europe;87223263;59777;0.37;6642464;10543594;6721133;10668465;6056899;9614126
L'Isle-sur-le-Doubs;87184572;25250;0.0;132116;132116;125662;125662;123373;123373
Loos lez Lille;87286112;59120;0.0;57811;57811;47194;47194;42385;42385
Louvres;87276253;95380;0.0;2420732;2420732;1980516;1980516;1860250;1860250
Ludres;87141481;54710;0.0;30115;30115;24159;24159;21795;21795
Maizières-lès-Metz;87191106;57210;0.03000000000000006;341339;351896;323371;333372;266195;274428
Mareil-Marly;87733667;78750;0.0;377465;377465;295228;295228;139813;139813
Marne-la-Vallée Chessy;87111849;77700;0.03816793893129766;4448487;4625014;4319252;4490651;4641120;4825292
Mayet;87396580;72360;0.0;29235;29235;27067;27067;23316;23316
Mézidon-Canon;87444208;14270;0.02999999999999999;359744;370870;356499;367525;318511;328362
Millau;87783001;12100;0.0;38857;38857;45133;45133;38166;38166
Montrabé;87611848;31850;0.0;46274;46274;49370;49370;45468;45468
Moreuil;87313320;80110;0.1999999999999999;246328;307910;212537;265671;188341;235426
Morvillars;87184424;90120;0.0;13548;13548;9622;9622;9808;9808
Mulhouse Dornach;87182055;68200;0.2;253994;317492;234086;292607;186927;233659
Nançois - Tronville;87175067;55500;0.0;1216;1216;1288;1288;1191;1191
Nantiat;87592444;87140;0.0;24186;24186;19639;19639;18794;18794
Nérondes;87576454;18350;0.0;38605;38605;33743;33743;32042;32042
Niort;87485300;79000;0.2;1394556;1743195;1482134;1852668;1320394;1650493
Nogent-sur-Vernisson;87684274;45290;0.0;89229;89229;77468;77468;67132;67132
Nointel - Mours;87276758;95590;0.0;427226;427226;387335;387335;377139;377139
Onville;87192435;54890;0.0;11644;11644;12660;12660;10059;10059
Pomas;87615146;11250;0.0;1401;1401;1016;1016;1169;1169
Pompadour;87594663;19410;0.0;2;2;474;474;1790;1790
Pont-l'Évêque;87444349;14130;0.0;164885;164885;143454;143454;123946;123946
Pont-Melvez;87473520;22390;0.0;4506;4506;5285;5285;6315;6315
Pouxeux;87144428;88550;0.0;23203;23203;24513;24513;21986;21986
Quillan;87615260;11500;0.0;37006;37006;36728;36728;35958;35958
Quimperlé;87476317;29300;0.2099999999999999;503306;637096;446178;564783;409857;518806
Razac-sur-l'Isle;87595223;24430;0.0;45077;45077;26425;26425;9118;9118
Recquignies;87295022;59245;0.0;2823;2823;2332;2332;1964;1964
Remiremont;87144451;88200;0.1999999999999999;360999;451249;363176;453970;319312;399140
Rochy-Condé;87313601;60510;0.0;10598;10598;10804;10804;6234;6234
Sainte-Geneviève-des-Bois;87545210;91700;0.0;3891084;3891084;3528463;3528463;3315717;3315717
Saint-Germain-en-Laye Bel-Air - Fourqueux;87733675;78100;0.0;882705;882705;800369;800369;378967;378967
Saint-Laurent-de-la-Prée - Fouras;87485136;17450;0.0;47948;47948;39834;39834;39829;39829
Saint-Léon-sur-l'Isle;87595264;24110;0.0;25578;25578;23551;23551;19074;19074
Saint-Ouen-l'Aumône;87276105;95310;0.0;2052836;2052836;1860521;1860521;1826988;1826988
Saint-Sébastien Pas Enchantés;87354589;44230;0.0;53105;53105;46149;46149;36316;36316
Sallanches - Combloux - Megève;87746438;74700;0.08999999999999997;391614;430345;366452;402695;358306;393743
Salses-le-Château;87784157;66600;0.0;39128;39128;44852;44852;39917;39917
Sauveterre-la-Lémance;87586495;47500;0.0;1069;1069;890;890;1446;1446
Schwindratzheim;87212159;67270;0.0;100181;100181;86652;86652;79794;79794
Serdinya;87784702;66360;0.0;336;336;330;330;418;418
Servas - Lent;87723791;1960;0.0;84262;84262;72041;72041;65465;65465
Sospel;87756825;6380;0.0;54330;54330;59023;59023;45712;45712
Steinbourg;87212209;67790;0.0;30170;30170;25742;25742;21947;21947
Thenissey;87713099;21150;0.0;4804;4804;3477;3477;3923;3923
Valdahon;87718544;25800;0.1999999999999999;155474;194342;209409;261762;210288;262860
Verneuil-l'Étang;87116079;77390;0.0;655014;655014;593916;593916;551528;551528
Vierzy;87271783;2210;0.0;951;951;965;965;555;555
Virville - Manneville;87413336;76110;0.0;0;0;0;0;0;0
Wittring;87193656;57137;0.0;2;2;1362;1362;1927;1927
Boisleux-au-Mont;87342071;62175;0.0;2102;2102;1857;1857;2055;2055
