Mois;UIC;Nom gare;Nombre de non-conformités;Nombre d'observations;Taux de conformité
2024-01;0087118257;Vendeuvre-sur-Barse;152;3648;95.833333334
2024-01;0087141036;Foug;144;1152;87.5
2024-01;0087141051;Fontenoy-sur-Moselle;72;1296;94.444444445
2024-01;0087141069;Liverdun;0;1440;100.0
2024-01;0087141077;Frouard;72;3240;97.777777778
2024-01;0087141101;Varangéville - Saint-Nicolas;390;8658;95.495495496
2024-01;0087141218;Bayon;0;858;100.0
2024-01;0087141416;Baccarat;0;3713;100.0
2024-01;0087141432;Thiaville-sur-Meurthe;0;231;100.0
2024-01;0087141523;Pont-Saint-Vincent;0;874;100.0
2024-01;0087141788;Pompey;0;1872;100.0
2024-01;0087142000;Chaumont;380;24320;98.4375
2024-01;0087142125;Culmont - Chalindrey;456;24244;98.119122258
2024-01;0087144055;Charmes;80;6000;98.666666667
2024-01;0087144097;Thaon;33;528;93.75
2024-01;0087144154;Bruyères;237;2291;89.655172414
2024-01;0087144428;Pouxeux;0;330;100.0
2024-01;0087171009;Reims;1771;38731;95.427435388
2024-01;0087172130;Givet;456;17632;97.413793104
2024-01;0087172155;Mohon;208;8320;97.5
2024-01;0087172254;Sedan;684;15504;95.588235295
2024-01;0087175067;Nançois - Tronville;0;1008;100.0
2024-01;0087175778;Verdun;154;6699;97.701149426
2024-01;0087175828;Pagny-sur-Meuse;0;1512;100.0
2024-01;0087182071;Rixheim;150;810;81.481481482
2024-01;0087182139;Saint-Louis;1140;35112;96.753246754
2024-01;0087191098;Walygator Parc;0;188;100.0
2024-01;0087191163;Hettange-Grande;0;5292;100.0
2024-01;0087191742;Gandrange - Amnéville;77;2618;97.05882353
2024-01;0087192088;Woippy;0;4200;100.0
2024-01;0087192666;Conflans - Jarny;0;14707;100.0
2024-01;0087192732;Valleroy - Moineville;0;912;100.0
2024-01;0087212100;Mundolsheim;75;1125;93.333333334
2024-01;0087212142;Mommenheim;0;6150;100.0
2024-01;0087212175;Wilwisheim;75;1125;93.333333334
2024-01;0087212183;Dettwiller;75;1500;95.0
2024-01;0087212324;Kilstett;320;1760;81.818181819
2024-01;0087212357;Drusenheim;122;2562;95.238095239
2024-01;0087212373;Rountzenheim;101;2222;95.454545455
2024-01;0087212415;Roppenheim;101;2323;95.652173914
2024-01;0087212464;Lauterbourg;98;1960;95.0
2024-01;0087213447;Hoffen;0;900;100.0
2024-01;0087213462;Riedseltz;0;700;100.0
2024-01;0087213470;Wissembourg;99;5643;98.245614036
2024-01;0087213660;Kurtzenhouse;0;2370;100.0
2024-01;0087213744;Wingen-sur-Moder;198;2277;91.304347827
2024-01;0087214130;Matzenheim;192;3264;94.117647059
2024-01;0087214213;Dambach-la-Ville;94;1316;92.857142858
2024-01;0087214551;Dachstein;73;1752;95.833333334
2024-01;0087214650;Lutzelhouse;146;1752;91.666666667
2024-01;0087214676;Wisches;73;1314;94.444444445
2024-01;0087214775;Bourg-Bruche;0;657;100.0
2024-01;0087215079;Réding;0;1950;100.0
2024-01;0087215632;Oermingen;0;1500;100.0
2024-01;0087271551;Le Plessis-Belleville;76;2052;96.296296297
2024-01;0087271577;Nanteuil-le-Haudouin;76;2052;96.296296297
2024-01;0087271593;Crépy-en-Valois;154;5852;97.368421053
2024-01;0087271734;Villers-Cotterêts;231;4928;95.3125
2024-01;0087271817;Soissons;77;5082;98.484848485
2024-01;0087276279;Orry-la-Ville - Coye;154;5698;97.297297298
2024-01;0087276303;Longueil-Sainte-Marie;60;1800;96.666666667
2024-01;0087281105;Bergues;532;6840;92.222222223
2024-01;0087282624;Lyon Jean Macé;304;7600;96.0
2024-01;0087286005;Lille Flandres;304;22344;98.639455783
